Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Property_Area,Loan_Status,CIBIL_Score
LP001002,Male,No,0,Graduate,No,467920,0.0,,360.0,Urban,Y,782
LP001003,Male,Yes,1,Graduate,No,366640,120640.0,10240000.0,360.0,Rural,N,772
LP001005,Male,Yes,0,Graduate,Yes,240000,0.0,5280000.0,360.0,Urban,Y,694
LP001006,Male,Yes,0,Not Graduate,No,206640,188640.0,9600000.0,360.0,Urban,Y,786
LP001008,Male,No,0,Graduate,No,480000,0.0,11280000.0,360.0,Urban,Y,751
LP001011,Male,Yes,2,Graduate,Yes,433360,335680.0,21360000.0,360.0,Urban,Y,700
LP001013,Male,Yes,0,Not Graduate,No,186640,121280.0,7600000.0,360.0,Urban,Y,782
LP001014,Male,Yes,3+,Graduate,No,242880,200320.0,12640000.0,360.0,Semiurban,N,421
LP001018,Male,Yes,2,Graduate,No,320480,122080.0,13440000.0,360.0,Urban,Y,754
LP001020,Male,Yes,1,Graduate,No,1027280,877440.0,27920000.0,360.0,Semiurban,N,767
LP001024,Male,Yes,2,Graduate,No,256000,56000.0,5600000.0,360.0,Urban,Y,796
LP001027,Male,Yes,2,Graduate,,200000,147200.0,8720000.0,360.0,Urban,Y,779
LP001028,Male,Yes,2,Graduate,No,245840,648480.0,16000000.0,360.0,Urban,Y,783
LP001029,Male,No,0,Graduate,No,148240,227200.0,9120000.0,360.0,Rural,N,831
LP001030,Male,Yes,2,Graduate,No,103920,86880.0,1360000.0,120.0,Urban,Y,810
LP001032,Male,No,0,Graduate,No,396000,0.0,10000000.0,360.0,Urban,Y,829
LP001034,Male,No,1,Not Graduate,No,287680,0.0,8000000.0,240.0,Urban,Y,552
LP001036,Female,No,0,Graduate,No,280800,0.0,6080000.0,360.0,Urban,N,557
LP001038,Male,Yes,0,Not Graduate,No,390960,0.0,10640000.0,360.0,Rural,N,767
LP001041,Male,Yes,0,Graduate,,208000,280000.0,9200000.0,,Urban,Y,837
LP001043,Male,Yes,0,Not Graduate,No,612800,0.0,8320000.0,360.0,Urban,N,593
LP001046,Male,Yes,1,Graduate,No,476400,450000.0,25200000.0,360.0,Urban,Y,809
LP001047,Male,Yes,0,Not Graduate,No,208000,152880.0,9280000.0,360.0,Semiurban,N,491
LP001050,,Yes,2,Not Graduate,No,269200,153360.0,8960000.0,360.0,Rural,N,576
LP001052,Male,Yes,1,Graduate,,297360,234000.0,12080000.0,360.0,Semiurban,N,660
LP001066,Male,Yes,0,Graduate,Yes,764800,0.0,15280000.0,360.0,Semiurban,Y,737
LP001068,Male,Yes,0,Graduate,No,223920,180240.0,9760000.0,360.0,Semiurban,Y,701
LP001073,Male,Yes,2,Not Graduate,No,338080,83200.0,8800000.0,360.0,Urban,Y,768
LP001086,Male,No,0,Not Graduate,No,115360,0.0,2800000.0,360.0,Urban,N,728
LP001087,Female,No,2,Graduate,,300000,166640.0,9600000.0,360.0,Semiurban,Y,738
LP001091,Male,Yes,1,Graduate,,333280,269520.0,16080000.0,360.0,Urban,N,669
LP001095,Male,No,0,Graduate,No,253360,0.0,5920000.0,360.0,Urban,N,694
LP001097,Male,No,1,Graduate,Yes,375360,0.0,8480000.0,360.0,Rural,N,730
LP001098,Male,Yes,0,Graduate,No,280000,133360.0,9120000.0,360.0,Semiurban,Y,787
LP001100,Male,No,3+,Graduate,No,1000000,240000.0,25600000.0,360.0,Rural,N,734
LP001106,Male,Yes,0,Graduate,No,182000,165360.0,,360.0,Urban,Y,743
LP001109,Male,Yes,0,Graduate,No,146240,106400.0,8000000.0,,Urban,N,430
